Price,Close,High,Low,Open,Volume
Ticker,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK
Date,,,,,
2024-06-03,4581.66650390625,4658.669302291229,4572.041154108128,4600.917203502495,7516700
2024-06-04,4745.29736328125,4836.738184683221,4581.666419719828,4581.666419719828,7426400
2024-06-05,4812.6748046875,4812.6748046875,4726.046658203125,4745.297357421875,4273300
2024-06-06,4884.86474609375,4981.118238627617,4812.67462669335,4812.67462669335,12243200
2024-06-07,4981.11865234375,5005.182027475846,4884.865151815368,4884.865151815368,3592600
2024-06-10,4860.8017578125,5005.182008044555,4860.8017578125,4981.118633005879,2927700
2024-06-11,4860.8017578125,4957.055257967203,4860.8017578125,4860.8017578125,3326700
2024-06-12,4836.73828125,4932.991779384329,4783.79885727612,4860.801655783583,2393000
2024-06-13,4764.5478515625,4908.928089488636,4716.421105587121,4860.801343513258,1494700
2024-06-14,4562.41552734375,4764.547860833663,4533.539479702334,4745.297162406052,4020800
2024-06-19,4514.2890625,4581.66651119403,4504.663712686567,4562.415811567164,5631200
2024-06-20,4600.9169921875,4649.0437389677045,4456.536751846888,4523.914197339174,3073400
2024-06-21,4803.04931640625,4836.738039066414,4600.916980445266,4600.916980445266,5342500
2024-06-24,4836.73828125,4908.928404850746,4793.4242070895525,4793.4242070895525,5726800
2024-06-25,4812.6748046875,4884.864926757813,4764.548056640625,4836.738178710938,3312800
2024-06-26,4774.17333984375,4908.92823250063,4726.046592466293,4812.674737745716,3945800
2024-06-27,4745.29736328125,4803.049461008811,4745.29736328125,4783.79876176629,1022900
2024-06-28,4793.42431640625,4860.8017666368605,4764.548266307417,4764.548266307417,7217700
2024-07-01,4764.5478515625,4836.737970525568,4735.671803977272,4793.423899147727,6328700
2024-07-02,4957.05517578125,5053.308674340109,4774.173528519417,4803.049578087075,23405000
2024-07-03,5053.30859375,5173.6254650297615,4981.118470982143,5005.181845238095,15435000
2024-07-04,5053.30859375,5197.6888392857145,4908.9283482142855,5053.30859375,9838800
2024-07-05,5077.3720703125,5221.752318757405,5005.181946090048,5053.308695571683,19346300
2024-07-08,5053.30859375,5197.6888392857145,5053.30859375,5077.371968005952,8088700
2024-07-09,5053.30859375,5269.878962053571,5005.181845238095,5053.30859375,8588200
2024-07-10,4932.99169921875,5101.435318216463,4932.99169921875,5077.371944073933,2107500
2024-07-11,5101.435546875,5173.6256725383255,4957.055295548349,4957.055295548349,6528200
2024-07-12,5173.62548828125,5245.815611373547,5053.308616460756,5125.4987395530525,4198900
2024-07-15,5101.435546875,5197.689047759434,4981.118670769458,5173.6256725383255,5487100
2024-07-16,5125.49853515625,5125.49853515625,5005.181668133802,5125.49853515625,2877300
2024-07-17,5005.181640625,5149.561880258414,5005.181640625,5125.498506986178,1982800
2024-07-18,4932.99169921875,5077.371944073933,4932.99169921875,5005.181821646342,3580400
2024-07-19,5149.56201171875,5149.56201171875,4908.928272853388,4981.118394512997,7087700
2024-07-22,5149.56201171875,5197.688759491823,5101.435263945677,5173.625385605286,2652100
2024-07-23,5245.8154296875,5269.8788032181765,5101.43518850344,5125.498562034117,7592600
2024-07-24,5245.8154296875,5269.8788032181765,5101.43518850344,5245.8154296875,2780400
2024-07-25,5269.87890625,5390.195776255708,5173.625410245434,5245.815532248858,7953000
2024-07-26,5197.68896484375,5342.0692138671875,5197.68896484375,5293.942464192709,11255900
2024-07-29,5197.68896484375,5245.8157145182295,5101.435465494792,5245.8157145182295,4282500
2024-07-30,5125.49853515625,5221.752028774207,5005.181668133802,5221.752028774207,5455400
2024-07-31,5342.06884765625,5366.1322208438905,5125.498488967483,5149.561862155124,10188400
2024-08-01,5197.68896484375,5390.195963541667,5053.3087158203125,5390.195963541667,9778700
2024-08-02,5149.56201171875,5197.688759491823,5125.498637832214,5173.625385605286,6587300
2024-08-05,5101.435546875,5149.562297317217,4957.055295548349,5101.435546875,6585200
2024-08-06,5221.751953125,5245.815326180876,5053.308341733871,5101.435087845622,5007600
2024-08-07,5197.68896484375,5245.8157145182295,5197.68896484375,5221.75233968099,1690400
2024-08-08,5149.56201171875,5245.815507264895,5125.498637832214,5197.688759491823,1901500
2024-08-09,5269.87890625,5318.005654252283,5197.688784246575,5197.688784246575,4563800
2024-08-12,5293.9423828125,5390.195880681818,5269.87900834517,5269.87900834517,5071500
2024-08-13,5293.9423828125,5366.132506214489,5293.9423828125,5366.132506214489,4125500
2024-08-14,5293.9423828125,5342.069131747159,5245.815633877841,5293.9423828125,5153500
2024-08-15,5197.68896484375,5293.942464192709,5101.435465494792,5293.942464192709,5308800
2024-08-16,5197.68896484375,5221.75233968099,5149.562215169271,5221.75233968099,3047200
2024-08-19,5221.751953125,5221.751953125,5173.625207013249,5197.688580069124,1152400
2024-08-20,5245.8154296875,5293.942176748853,5197.688682626146,5245.8154296875,2990900
2024-08-21,5245.8154296875,5318.005550279529,5245.8154296875,5269.8788032181765,3629100
2024-08-22,5269.87890625,5269.87890625,5173.625410245434,5197.688784246575,2466900
2024-08-23,5197.68896484375,5293.942464192709,5197.68896484375,5293.942464192709,2731900
2024-08-26,5221.751953125,5269.878699236751,5173.625207013249,5197.688580069124,3800100
